Production Year,Production Date Entered,Operator,County,Field,Active Oil Wells,Inactive Oil Wells,Self-use Well
1997,03/19/1998,Lomak Operating Company,Erie,BRANT-EDEN,0,0,NO
1999,03/31/2000,Seneca Resources Corporation,Erie,WEST SENECA,0,0,NO
1989,01/29/1990,"Granby & Hemenway Gas Co., Inc",Ontario,NAPLES,0,0,YES
1973,09/14/1994,Dan Gernatt Farms,Erie,NORTH COLLINS,0,0,YES
1990,05/23/1991,Heitman Gas,Chautauqua,LAKESHORE,0,0,INACTIVE
1995,04/17/1996,"Charrington Creek, Inc,",Chautauqua,LAKESHORE,0,0,YES
1988,04/07/1989,"Sterling Energy, Inc.",Livingston,AVON,0,0,NO
1999,04/07/2000,"Matrix Energy Development, Inc.",Erie,GLENWOOD,0,0,NO
1971,09/29/1994,Iroquois Gas Corp.,Allegany,STATE LINE,0,0,INACTIVE
1994,03/10/1995,Cabot Oil & Gas Corp.,Cattaraugus,LAKESHORE,0,0,NO
1997,03/30/1998,"Matrix Energy Development, Inc.",Erie,BRANT-EDEN,0,0,YES
1973,09/15/1994,Messer Oil Corp.,Allegany,RICHBURG,54,45,NO
1994,04/05/1995,United States Gypsum Co.,Wyoming,ALDEN-LANCASTER,0,0,NO
1995,01/18/1996,"Goater, Kenneth A",Niagara,SANBORN,0,0,YES
1990,04/29/1991,"Dawley, Sandra L.",Chautauqua,LAKESHORE,0,0,NO
1997,03/09/1998,"Reserve Gas Company, Inc.",Erie,ALDEN-LANCASTER,0,0,NO
1979,07/01/1994,"Chautauqua Energy, Inc.",Chautauqua,LAKESHORE,0,0,INACTIVE
1967,10/07/1994,Wyckoff Development Co.,Steuben,WYCKOFF,0,0,NO
1992,04/09/1993,"Copper Ridge Oil, Inc.",Cattaraugus,FIVE MILE,33,0,NO
1985,01/29/1986,"Morse, Theodore S",Chautauqua,LAKESHORE,0,0,NO
1988,03/30/1989,Kinley Oil & Gas Corp.,Cattaraugus,BRADFORD,94,0,NO
1975,08/30/1994,G & H Oil Co.,Allegany,RICHBURG,3,7,NO
1993,03/30/1994,Meridian Exploration Corp.,Chautauqua,LAKESHORE,0,0,NO
1984,04/04/1985,"Elcoex, Inc.",Madison,,0,0,INACTIVE
1990,04/04/1991,"American Penn Energy,  Inc.",Chautauqua,LAKESHORE,0,0,NO
1982,05/27/1994,Villanova Natural Gas Corp.,Chautauqua,LAKESHORE,0,0,NO
1994,04/06/1995,"Greeley, John A.",Cattaraugus,FOUR MILE,7,0,NO
1991,03/31/1992,"Clearwater Systems, Inc.",Chautauqua,LAKESHORE,0,0,NO
1995,01/10/1996,Estate of Helmut & Sonja Diehl,Cattaraugus,PIGEON HILL,0,0,YES
