Production Year,Production Date Entered,Operator,County,Field,Active Oil Wells,Inactive Oil Wells,Self-use Well
1982,05/06/1994,"Ebenezer Oil Co., Inc.",Allegany,RICHBURG,78,3,NO
1990,02/21/1991,"Mansour, Robert L",Cattaraugus,BRADFORD,10,0,NO
1987,02/29/1988,"Westmin Resources,  Inc.",Livingston,HUNT HOLLOW,0,0,INACTIVE
1989,03/12/1990,Brock-Acres Farm,Ontario,EAST BLOOMFIELD,0,0,YES
1999,03/23/2000,"Field Service, Inc.",Erie,BRANT-EDEN,0,0,NO
1967,09/30/1994,Iroquois Gas Corp.,Allegany,BEECH HILL-INDEPENDENCE,0,0,NO
1983,05/22/1984,H. L. Murry Drilling Co.,Cattaraugus,RED HOUSE,5,0,NO
1996,03/26/1997,Seneca Resources Corporation,Cattaraugus,PERRYSBURG,0,0,NO
1991,03/24/1992,"Johnson, Mark & Troy",Chautauqua,BUSTI,23,0,NO
1995,04/04/1996,L. W. Resources,Erie,ELMA,0,0,YES
1987,04/13/1988,Seis-Ex Geophysical Ltd,Chautauqua,LAKESHORE,0,0,NO
1984,04/11/1985,National Fuel Gas Supply Corp.,Erie,ALDEN-LANCASTER,0,0,YES
1981,06/16/1994,"Ebenezer Oil Co., Inc.",Allegany,FULMER VALLEY,22,0,NO
1971,09/23/1994,O. Boyce McDivitt,Cattaraugus,BRADFORD,19,9,NO
1996,03/25/1997,CEI 1990-1 Joint Venture,Chautauqua,LAKESHORE,0,0,NO
1994,04/07/1995,"Dudar, John",Allegany,RICHBURG,4,0,NO
1979,07/07/1994,"P & S Drilling, Inc.",Erie,BUFFALO,0,0,NO
1984,04/15/1985,"Envirogas, Inc.",Cattaraugus,DAYTON,0,0,INACTIVE
1977,08/12/1994,"Bouquin, Fred C Jr",Cattaraugus,BRADFORD,10,0,NO
1983,03/09/1984,Potter & Childs,Allegany,BEECH HILL-INDEPENDENCE,2,1,NO
1984,04/03/1985,"Lenape Resources Corp., The",Livingston,UHLEY CORNERS-CALEDONIA,0,0,NO
1988,04/13/1989,"Envirogas, Inc.",Chautauqua,LAKESHORE,0,0,NO
1972,09/20/1994,Reliance Oil Cor.,Cayuga,WEST AUBURN,0,0,NO
1989,02/07/1990,Iroquois Central School District,Erie,ELMA,0,0,YES
