Production Year,Production Date Entered,Operator,County,Field,Active Oil Wells,Inactive Oil Wells,Self-use Well
1986,03/05/1987,"Universal Resources Holdings, Incorporated",Chautauqua,LAKESHORE,0,0,NO
1992,04/27/1993,"Ivan Hall & Associates, Inc.",Cattaraugus,LAKESHORE,0,0,NO
1999,02/03/2000,Heitman Gas,Chautauqua,LAKESHORE,0,0,YES
1988,04/03/1989,"Desert Gas Exploration, Inc.",Chautauqua,LAKESHORE,0,0,NO
1993,04/27/1994,Schreiner Oil and Gas Inc.,Chautauqua,LAKESHORE,0,0,NO
1991,03/31/1992,"Hydrocarbon Generation, Inc.",Cattaraugus,CHIPMUNK,0,0,INACTIVE
1988,03/13/1989,"Slater, Patricia A.",Erie,ALDEN-LANCASTER,0,0,INACTIVE
1993,03/30/1994,"Tenpas, Harold R.",Chautauqua,LAKESHORE,0,0,YES
1990,04/01/1991,U S Energy Development Corp.,Chautauqua,LAKESHORE,0,0,NO
1968,09/30/1994,Iroquois Gas Corp.,Allegany,STATE LINE,0,0,INACTIVE
1997,04/09/1998,"Ardent Resources, Inc.",Madison,LEBANON,0,0,NO
1989,04/11/1990,C.J. Gas,Chautauqua,LAKESHORE,0,0,NO
1993,03/17/1994,New Gas Drilling Co.,Chautauqua,LAKESHORE,0,0,NO
1992,01/15/1993,"Noble, Ray A.",Yates,NORTH PENN YAN,0,0,
1985,02/24/1986,"Abarta Oil & Gas, Inc.",Erie,TONAWANDA,0,0,INACTIVE
1995,01/24/1996,"Bottoms, Ruth A",Allegany,CERES,1,0,NO
1969,10/03/1994,"Bunnell, Herbert F.",Allegany,,20,4,NO
1992,04/06/1993,Thomas A Miller Oil Co.,Cattaraugus,BRADFORD,12,4,NO
1992,03/26/1993,United States Gypsum Co.,Wyoming,DANLEY CORNERS,0,0,
1994,02/03/1995,"Sturm, Jerrold L.",Livingston,UHLEY CORNERS-CALEDONIA,0,0,YES
1985,03/28/1986,"Ebenezer Oil Co., Inc.",Allegany,RICHBURG,0,3,INACTIVE
1997,03/19/1998,"Olson, Gilbert L.",Chautauqua,LAKESHORE,0,0,YES
1979,07/05/1994,Ketchurian & Co.,Chautauqua,LAKESHORE,0,0,NO
1970,09/29/1994,"Evinczik, Joseph A",Chautauqua,BUSTI,1,0,NO
1998,03/26/1999,"Tremblay, Gail R. & Alan B.",Chemung,DOOLITTLE HILL,0,0,YES
1992,03/26/1993,"Kirsch, Doris R.",Wyoming,SHELDON,0,0,YES
1997,01/15/1998,"Kirsch, Doris R.",Wyoming,SHELDON,0,0,YES
1994,02/28/1995,"Trahan Petroleum, Inc.",Chautauqua,LAKESHORE,0,0,NO
1977,08/19/1994,Clover Oil & Gas Co.,Genesee,ALDEN-LANCASTER,0,0,NO
1991,04/02/1992,"Envirogas, Inc.",Chautauqua,LAKESHORE,0,0,NO
