Production Year,Production Date Entered,Operator,County,Field,Active Oil Wells,Inactive Oil Wells,Self-use Well
1994,04/05/1995,"Dust Bowl Oil Company, Inc.",Allegany,RICHBURG,4,28,NO
1987,04/21/1988,"Universal Resources Holdings, Incorporated",Chautauqua,LAKESHORE,0,0,NO
1975,08/31/1994,"McCormick, Neil",Steuben,ANDOVER,11,0,NO
1999,04/11/2000,"Stark, Eric",Allegany,BEECH HILL-INDEPENDENCE,2,0,NO
1980,06/13/1994,"Baldwin, Grace I",Allegany,RICHBURG,0,0,NO
1986,03/26/1987,Norris Oil Co.,Steuben,BEECH HILL-INDEPENDENCE,26,0,NO
1994,03/30/1995,Altimus & Associates,Chautauqua,LAKESHORE,0,0,NO
1987,04/01/1988,Perry Gas Co.,Wyoming,LEICESTER,0,0,NO
1973,09/14/1994,D-Y-M Corp.,Steuben,BEECH HILL-INDEPENDENCE,23,0,NO
1994,02/14/1995,"Gallets, Clair F",Cattaraugus,BRADFORD,0,1,INACTIVE
1992,01/20/1993,"Keller, David & Edna",Chautauqua,BUSTI,5,0,NO
1987,05/17/1988,"American Penn Energy,  Inc.",Chautauqua,LAKESHORE,0,0,NO
1992,05/12/1993,"Ardent Resources, Inc.",Chautauqua,LAKESHORE,0,0,NO
1986,03/27/1987,"Gower, Mark A",Chautauqua,LAKESHORE,0,0,INACTIVE
1992,03/30/1994,"Exchange Oil & Gas,  Inc.",Cattaraugus,FIVE MILE,15,0,NO
1999,02/04/2000,Carey Hollow Oil Co.,Cattaraugus,FOUR MILE,6,0,NO
1999,06/13/2000,"Bower, Edwin L.",Livingston,HUNT HOLLOW,0,0,YES
1974,09/09/1994,National Fuel Gas Supply Corp.,Genesee,PAVILION,0,0,YES
1992,04/13/1993,"Lampman, Mary & Jean",Allegany,RICHBURG,3,0,NO
1986,04/10/1987,"Lenape Resources Corp., The",Genesee,UHLEY CORNERS-CALEDONIA,0,0,NO
1994,01/20/1995,"Gier's Farm Service, Inc.",Chautauqua,LAKESHORE,0,0,YES
1978,07/13/1994,"Firth, Robert H",Chautauqua,LAKESHORE,0,0,YES
1991,02/03/1992,"Solar Sportsystems, Inc.",Erie,ELMA,0,0,YES
1994,03/02/1995,"Tenhuisen, Paul Calvin and Josephine",Chautauqua,LAKESHORE,0,0,YES
1988,07/18/1989,Walker Exploration & Production Corp.,Chautauqua,LAKESHORE,0,0,NO
1986,04/13/1987,Silver Creek Drilling Corp.,Erie,BRANT-EDEN,0,0,NO
1993,02/28/1994,"Pan Energy Company, Inc.",Cattaraugus,LAKESHORE,0,0,NO
1987,04/27/1988,Interco Energy Development Corp,Cattaraugus,DUTCH HILL,1,0,NO
1991,03/24/1992,"R. W. Taylor & Sons, Inc.",Wyoming,LEICESTER,0,0,YES
1979,06/30/1994,"Nenno, Lena C.",Cattaraugus,BRADFORD,0,14,INACTIVE
1969,09/30/1994,Iroquois Gas Corp.,Erie,ALDEN-LANCASTER,0,0,NO
1976,08/26/1994,"Haywood, Henry G",Chemung,VAN ETTEN,0,0,YES
1984,04/02/1985,"Subsea Oil & Gas, Inc.",Genesee,ALDEN-LANCASTER,0,0,NO
1996,02/07/1997,Pennsylvania General Energy,Cattaraugus,BRADFORD,6,0,NO
1992,03/26/1993,"Local Energy, Inc.",Chautauqua,LAKESHORE,0,0,NO
1990,03/20/1991,"Eclipse Energy Company, LLC",Chautauqua,UNNAMED,0,0,INACTIVE
1998,02/18/1999,"Ark, Mary P.",Chautauqua,LAKESHORE,0,0,YES
1974,09/07/1994,"Mooney, Thomas L.",Allegany,,23,0,NO
1986,03/10/1987,"J M Resources, Inc.",Chautauqua,LAKESHORE,0,0,NO
1987,04/01/1988,"Weil Resources, Inc.",Erie,BRANT-EDEN,0,0,NO
1980,06/22/1994,"Eliskim, Inc.",Chautauqua,LAKESHORE,0,0,YES
1989,02/14/1990,Shanley Montara Petroleum Co.,Wyoming,JAVA,0,0,NO
1986,03/11/1987,"Campbell, Mott",Allegany,RICHBURG,10,0,NO
1999,04/06/2000,Belden & Blake Corporation,Chautauqua,ELLERY,1,0,NO
1974,09/08/1994,Goldenrod Oil Co.,Cattaraugus,FOUR MILE,4,0,NO
1994,04/06/1995,"Herberger, Donald",Genesee,PAVILION,0,0,YES
1989,02/08/1990,O. Boyce McDivitt,Cattaraugus,BRADFORD,14,0,NO
1998,04/12/1999,Columbia Natural Resources  LLC,Steuben,,0,0,INACTIVE
1998,03/15/1999,Morris Oil Co.,Cattaraugus,CHIPMUNK,0,2,INACTIVE
1982,05/24/1994,"Jim Murphy Buick GMC, Inc.",Erie,ALDEN-LANCASTER,0,1,INACTIVE
1987,04/19/1988,"Ripley State Line Truck Stop, Inc.",Chautauqua,LAKESHORE,0,0,YES
1994,09/15/1995,Brooklyn Union Gas Co.,Queens,UNNAMED,0,0,INACTIVE
1976,08/25/1994,"Paragon Resources, Inc.",Chautauqua,LAKESHORE,0,0,NO
1984,04/04/1985,"Ostrander, Howard & Iris",Cattaraugus,FOUR MILE,8,2,NO
1993,03/29/1994,Joyce - Tullar Oil Co.,Allegany,FULMER VALLEY,3,0,NO
1995,04/02/1996,"Woodward Pipeline, Inc.",Erie,NORTH COLLINS,0,0,NO
1982,05/25/1994,Strippit Inc.,Erie,ALDEN-LANCASTER,0,0,YES
1975,08/30/1994,"Boudon, Adrian",Cattaraugus,CHIPMUNK,12,10,NO
1988,04/07/1989,"Potter, Clair W",Chautauqua,BUSTI,5,0,NO
1990,03/18/1991,Fault Line Oil Corporation,Cattaraugus,ASHFORD,0,0,NO
1996,02/07/1997,"Elliot, Douglas",Madison,SANGERFIELD,0,0,YES
1990,02/14/1991,"Seaport Natural Gas Co., Inc.",Erie,LAKEVIEW,0,0,NO
1990,01/09/1991,Verner & Harvey Smith Oil Co.,Cattaraugus,CHIPMUNK,3,0,NO
1989,04/06/1990,"GFS Energy, Inc.",Chautauqua,LAKESHORE,0,0,NO
